S.No,Stock_tick,Average log returns,Standard deviation of log returns,Security,GICS.Sector,GICS.Sub.Industry,Headquarters.Location,Date.first.added,CIK,Founded
17,AEP,-0.002270044,0.035918992,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",,4904,1906
78,CB,-0.002307306,0.045434864,Chubb Limited,Financials,Property & Casualty Insurance,"Zurich, Switzerland",7/15/2010,896159,
309,MLM,-0.002319732,0.051897422,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",7/2/2014,916076,
29,ALLE,-0.002376351,0.041500259,Allegion,Industrials,Building Products,"Dublin, Ireland",12/2/2013,1579241,1908
304,MET,-0.002404901,0.057287149,MetLife Inc.,Financials,Life & Health Insurance,"New York, New York",,1099219,1868
346,NVR,-0.002421201,0.058475114,NVR Inc,Consumer Discretionary,Homebuilding,"Reston, VA",9/26/2019,906163,1980
336,NLSN,-0.002422113,0.051892329,Nielsen Holdings,Industrials,Research & Consulting Services,"New York, New York",7/9/2013,1492633,
152,ED,-0.002427778,0.038288633,Consolidated Edison,Utilities,Electric Utilities,"New York, New York",,1047862,1823
217,HFC,-0.002437381,0.065152898,HollyFrontier Corp,Energy,Oil & Gas Refining & Marketing,"Dallas, Texas",6/18/2018,48039,
436,TJX,-0.00246432,0.047002859,TJX Companies Inc.,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",9/30/1985,109198,
188,FOX,-0.00247383,0.042401853,Fox Corporation (Class B),Communication Services,Movies & Entertainment,"New York, New York",9/18/2015,1308161,
216,HES,-0.002538214,0.074610549,Hess Corporation,Energy,Integrated Oil & Gas,"New York, New York",5/31/1984,4447,
248,IRM,-0.002558761,0.042426916,Iron Mountain Incorporated,Real Estate,Specialized REITs,"Boston, Massachusetts",1/6/2009,1020569,
474,WBA,-0.002564055,0.041615644,Walgreens Boots Alliance,Consumer Staples,Drug Retail,"Deerfield, Illinois",12/31/1979,1618921,2014
382,PSX,-0.002566025,0.059897666,Phillips 66,Energy,Oil & Gas Refining & Marketing,"Houston, Texas",5/1/2012,1534701,
58,BAC,-0.00257577,0.054843871,Bank of America Corp,Financials,Diversified Banks,"Charlotte, North Carolina",6/30/1976,70858,
488,WY,-0.002585937,0.069647594,Weyerhaeuser,Real Estate,Specialized REITs,"Federal Way, Washington",,106535,1900
484,WRB,-0.00258969,0.0458051,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,"Greenwich, Connecticut",12/5/2019,11544,1967
189,FOXA,-0.002602047,0.042883671,Fox Corporation (Class A),Communication Services,Movies & Entertainment,"New York, New York",7/1/2013,1308161,
499,ZION,-0.002614994,0.046386454,Zions Bancorp,Financials,Regional Banks,"Salt Lake City, Utah",6/22/2001,109380,
443,TSN,-0.002624252,0.045785596,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",,100493,1935
492,XOM,-0.002640803,0.045291463,Exxon Mobil Corp.,Energy,Integrated Oil & Gas,"Irving, Texas",,34088,1999
373,PM,-0.002647842,0.03695316,Philip Morris International,Consumer Staples,Tobacco,"New York, New York",3/31/2008,1413329,
103,CNP,-0.002650196,0.058472362,CenterPoint Energy,Utilities,Multi-Utilities,"Houston, Texas",7/31/1985,1130310,
463,VFC,-0.002666068,0.052679357,V.F. Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Greensboro, North Carolina",6/30/1979,103379,
230,HSY,-0.002667095,0.035791126,The Hershey Company,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",,47111,1894
464,VLO,-0.002677206,0.067449979,Valero Energy,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",,1035002,1980
418,SRE,-0.002703364,0.04654934,Sempra Energy,Utilities,Multi-Utilities,"San Diego, California",,1032208,1998
144,DUK,-0.002711753,0.039025371,Duke Energy,Utilities,Electric Utilities,"Charlotte, North Carolina",6/30/1976,1326160,
253,J,-0.002725495,0.0389899,Jacobs Engineering Group,Industrials,Construction & Engineering,"Dallas, Texas",10/26/2007,52988,
485,WRK,-0.002756482,0.059864251,WestRock,Materials,Paper Packaging,"Richmond, Virginia",,1636023,2015
18,AES,-0.002768323,0.056704998,AES Corp,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",10/2/1998,874761,1981
168,EXC,-0.002776722,0.047175273,Exelon Corp.,Utilities,Multi-Utilities,"Chicago, Illinois",,1109357,2000
495,XYL,-0.002780747,0.041892354,Xylem Inc.,Industrials,Industrial Machinery,"White Plains, New York",11/1/2011,1524472,2011
55,AXP,-0.002791486,0.058145813,American Express Co,Financials,Consumer Finance,"New York, New York",6/30/1976,4962,1850
107,COP,-0.002813231,0.066861438,ConocoPhillips,Energy,Oil & Gas Exploration & Production,"Houston, Texas",,1163165,2002
290,LVS,-0.002832335,0.052611922,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",10/3/2019,1300514,1988
401,ROST,-0.002874976,0.052508855,Ross Stores,Consumer Discretionary,Apparel Retail,"Dublin, California",12/21/2009,745732,
428,T,-0.002882877,0.03356426,AT&T Inc.,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",1983-11-30 (1957-03-04),732717,1983 (1885)
210,HAL,-0.00290818,0.093293026,Halliburton Co.,Energy,Oil & Gas Equipment & Services,"Houston, Texas",,45012,1919
22,AIZ,-0.002912553,0.04620821,Assurant,Financials,Multi-line Insurance,"New York, New York",4/10/2007,1267238,
295,MAA,-0.002934487,0.045374815,Mid-America Apartments,Real Estate,Residential REITs,"Memphis, Tennessee",12/2/2016,912595,
444,TT,-0.00293646,0.040470708,Trane Technologies plc,Industrials,Building Products,"Dublin, Ireland",11/17/2010,1466258,
415,SO,-0.002953959,0.044757218,Southern Company,Utilities,Electric Utilities,"Atlanta, Georgia",,92122,1945
276,LDOS,-0.002958774,0.038278618,Leidos Holdings,Information Technology,IT Consulting & Other Services,"Reston, Virginia",8/9/2019,1336920,1969
333,NI,-0.0029662,0.04305203,NiSource Inc.,Utilities,Multi-Utilities,"Merrillville, Indiana",,1111711,1912
154,EIX,-0.00297704,0.042196655,Edison Int'l,Utilities,Electric Utilities,"Rosemead, California",,827052,1886
116,CTL,-0.00300528,0.047258201,CenturyLink Inc,Communication Services,Alternative Carriers,"Monroe, Louisiana",3/25/1999,18926,
369,PHM,-0.003024471,0.063490971,PulteGroup,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",4/30/1984,822416,
378,PPL,-0.00303149,0.044651039,PPL Corp.,Utilities,Electric Utilities,"Allentown, Pennsylvania",,922224,
79,CBOE,-0.003034863,0.040571769,Cboe Global Markets,Financials,Financial Exchanges & Data,"Chicago, Illinois",3/1/2017,1374310,
259,JPM,-0.003049075,0.050921481,JPMorgan Chase & Co.,Financials,Diversified Banks,"New York, New York",6/30/1975,19617,
280,LHX,-0.003063374,0.038333854,L3Harris Technologies,Industrials,Aerospace & Defense,"Melbourne, Florida",,202058,
361,PEAK,-0.003072502,0.057543513,Healthpeak Properties,Real Estate,Health Care REITs,"Long Beach, California",3/31/2008,765880,
19,AFL,-0.003076055,0.055850722,AFLAC Inc,Financials,Life & Health Insurance,"Columbus, Georgia",5/28/1999,4977,1955
376,PNW,-0.003098128,0.042201676,Pinnacle West Capital,Utilities,Multi-Utilities,"Phoenix, Arizona",,764622,1985
374,PNC,-0.003102896,0.054438663,PNC Financial Services,Financials,Regional Banks,"Pittsburgh, Pennsylvania",4/30/1988,713676,
225,HPQ,-0.003108913,0.052846835,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",12/31/1974,47217,1939 (2015)
244,IPG,-0.00311555,0.053228978,Interpublic Group,Communication Services,Advertising,"New York, New York",10/1/1992,51644,
293,LYV,-0.003187654,0.067686479,Live Nation Entertainment,Communication Services,Movies & Entertainment,"Beverly Hills, California",12/23/2019,1335258,2010
380,PRU,-0.003207923,0.064439906,Prudential Financial,Financials,Life & Health Insurance,"Newark, New Jersey",7/22/2002,1137774,
220,HLT,-0.003212661,0.044642539,Hilton Worldwide Holdings Inc,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia",6/19/2017,1585689,1919
385,PXD,-0.003248889,0.078032412,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production,"Irving, Texas",9/24/2008,1038357,
201,GM,-0.003282337,0.056792762,General Motors,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",6/6/2013,1467858,
270,KO,-0.003287129,0.031545044,Coca-Cola Company,Consumer Staples,Soft Drinks,"Atlanta, Georgia",,21344,1886
165,ETR,-0.003292747,0.045313706,Entergy Corp.,Utilities,Electric Utilities,"New Orleans, Louisiana",,65984,1913
28,ALL,-0.003293261,0.04149316,Allstate Corp,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",7/13/1995,899051,1931
448,TXT,-0.003296878,0.064473106,Textron Inc.,Industrials,Aerospace & Defense,"Providence, Rhode Island",12/31/1978,217346,
142,DRI,-0.003339462,0.080295843,Darden Restaurants,Consumer Discretionary,Restaurants,"Orlando, Florida",,940944,1938
219,HII,-0.003407989,0.039039705,Huntington Ingalls Industries,Industrials,Aerospace & Defense,"Newport News, Virginia",1/3/2018,1501585,
199,GL,-0.003416318,0.050757751,Globe Life Inc.,Financials,Life & Health Insurance,"McKinney, Texas",4/30/1989,320335,
80,CBRE,-0.003434219,0.058625832,CBRE Group,Real Estate,Real Estate Services,"Los Angeles, California",11/10/2006,1138118,
98,CME,-0.003448544,0.046448652,CME Group Inc.,Financials,Financial Exchanges & Data,"Chicago, Illinois",8/11/2006,1156375,
229,HST,-0.003453763,0.05513479,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",3/20/2007,1070750,
390,RE,-0.003454394,0.046315359,Everest Re Group Ltd.,Financials,Reinsurance,"Hamilton, Bermuda",6/19/2017,1095073,
162,ESS,-0.003468585,0.046403608,"Essex Property Trust, Inc.",Real Estate,Residential REITs,"Palo Alto, California",4/2/2014,920522,
224,HPE,-0.003468591,0.050880499,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",11/2/2015,1645590,2015
315,MPC,-0.003469008,0.078453038,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,"Findlay, Ohio",7/1/2011,1510295,
460,USB,-0.003475552,0.054763326,U.S. Bancorp,Financials,Diversified Banks,"Minneapolis, Minnesota",,36104,1968
74,C,-0.003491042,0.065162845,Citigroup Inc.,Financials,Diversified Banks,"New York, New York",5/31/1988,831001,
285,LNC,-0.003541718,0.089653531,Lincoln National,Financials,Multi-line Insurance,"Radnor, Pennsylvania",6/30/1976,59558,
133,DISCA,-0.003548284,0.044374396,"Discovery, Inc. (Class A)",Communication Services,Broadcasting,"Silver Spring, Maryland",3/1/2010,1437107,
296,MAR,-0.003563229,0.060665247,Marriott Int'l.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",,1048286,1927
350,O,-0.003590111,0.060341037,Realty Income Corporation,Real Estate,Retail REITs,"San Diego, California",4/7/2015,726728,
452,UDR,-0.003600098,0.046170414,"UDR, Inc.",Real Estate,Residential REITs,"Highlands Ranch, Colorado",3/7/2016,74208,
353,OMC,-0.003603794,0.043004582,Omnicom Group,Communication Services,Advertising,"New York, New York",,29989,1986
427,SYY,-0.003663515,0.066199611,Sysco Corp.,Consumer Staples,Food Distributors,"Houston, Texas",12/31/1986,96021,
88,CFG,-0.003698808,0.072309501,Citizens Financial Group,Financials,Regional Banks,"Providence, Rhode Island",1/29/2016,759944,
321,MSI,-0.003735182,0.04155923,Motorola Solutions Inc.,Information Technology,Communications Equipment,"Chicago, Illinois",,68505,1928 (2011)
475,WDC,-0.003738553,0.059981409,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals","Irvine, California",7/1/2009,106040,
454,ULTA,-0.003791553,0.059941172,Ulta Beauty,Consumer Discretionary,Specialty Stores,"Bolingbrook, Illinois",4/18/2016,1403568,1990
21,AIV,-0.003803625,0.056709712,Apartment Investment & Management,Real Estate,Residential REITs,"Denver, Colorado",3/14/2003,922864,1994 (1975)
430,TDG,-0.003844703,0.07101629,TransDigm Group,Industrials,Aerospace & Defense,"Cleveland, Ohio",6/3/2016,1260221,
432,TFC,-0.003858137,0.063220863,Truist Financial,Financials,Regional Banks,"Charlotte, North Carolina",12/4/1997,92230,
425,SYF,-0.003870395,0.073779128,Synchrony Financial,Financials,Consumer Finance,"Stamford, Connecticut",11/18/2015,1601712,2003
359,PBCT,-0.004001826,0.054532584,People's United Financial,Financials,Thrifts & Mortgage Finance,"Bridgeport, Connecticut",11/13/2008,1378946,
160,EQR,-0.004057332,0.044615581,Equity Residential,Real Estate,Residential REITs,"Chicago, Illinois",12/3/2001,906107,
87,CF,-0.004063603,0.052953593,CF Industries Holdings Inc,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",8/27/2008,1324404,
122,CXO,-0.004077493,0.059878435,Concho Resources,Energy,Oil & Gas Exploration & Production,"Midland, Texas",2/22/2016,1358071,
27,ALK,-0.004083548,0.075053792,Alaska Air Group Inc,Industrials,Airlines,"Seattle, Washington",5/13/2016,766421,1985
127,DFS,-0.004085546,0.083358936,Discover Financial Services,Financials,Consumer Finance,"Riverwoods, Illinois",7/2/2007,1393612,
158,EOG,-0.004088266,0.068608003,EOG Resources,Energy,Oil & Gas Exploration & Production,"Houston, Texas",11/2/2000,821189,
214,HCA,-0.004095339,0.055890614,HCA Healthcare,Health Care,Health Care Facilities,"Nashville, Tennessee",1/27/2015,860730,
134,DISCK,-0.004103015,0.04410392,"Discovery, Inc. (Class C)",Communication Services,Broadcasting,"Silver Spring, Maryland",8/7/2014,1437107,
51,AVB,-0.004136493,0.04776234,AvalonBay Communities,Real Estate,Residential REITs,"Arlington, Virginia[3]",1/10/2007,915912,
183,FITB,-0.004136631,0.071055424,Fifth Third Bancorp,Financials,Regional Banks,"Cincinnati, Ohio",,35527,1858
268,KMI,-0.004179003,0.055088693,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",5/25/2012,1506307,
252,IVZ,-0.004180418,0.071575373,Invesco Ltd.,Financials,Asset Management & Custody Banks,"Atlanta, Georgia",8/21/2008,914208,
314,MOS,-0.004252441,0.072759821,The Mosaic Company,Materials,Fertilizers & Agricultural Chemicals,"Tampa, Florida",9/26/2011,1285785,
305,MGM,-0.004256993,0.092660334,MGM Resorts International,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",7/26/2017,789570,
147,DXC,-0.00433354,0.090267279,DXC Technology,Information Technology,IT Consulting & Other Services,"Tysons Corner, Virginia",4/4/2017,1688568,2017
393,RF,-0.004375639,0.065607276,Regions Financial Corp.,Financials,Regional Banks,"Birmingham, Alabama",8/28/1998,1281761,
291,LW,-0.004384653,0.052961843,Lamb Weston Holdings Inc,Consumer Staples,Packaged Foods & Meats,"Eagle, Idaho",12/3/2018,1679273,2016 (1950)
391,REG,-0.00442591,0.059347665,Regency Centers Corporation,Real Estate,Retail REITs,"Jacksonville, Florida",3/2/2017,910606,
489,WYNN,-0.004437829,0.076722159,Wynn Resorts Ltd,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",11/14/2008,1174922,
449,UA,-0.004498028,0.058955579,Under Armour (Class C),Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",4/8/2016,1336917,
456,UNM,-0.004509638,0.073420988,Unum Group,Financials,Life & Health Insurance,"Chattanooga, Tennessee",3/1/1994,5513,
289,LUV,-0.004515915,0.057524553,Southwest Airlines,Industrials,Airlines,"Dallas, Texas",7/1/1994,92380,
274,L,-0.004536902,0.05519747,Loews Corp.,Financials,Multi-line Insurance,"New York, New York",,60086,
453,UHS,-0.004543891,0.063082317,"Universal Health Services, Inc.",Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",9/20/2014,352915,
322,MTB,-0.004577023,0.05334231,M&T Bank Corp.,Financials,Regional Banks,"Buffalo, New York",,36270,1856
20,AIG,-0.004577546,0.068497206,American International Group,Financials,Property & Casualty Insurance,"New York, New York",3/31/1980,5272,1919
403,RTX,-0.004587002,0.053793758,Raytheon Technologies,Industrials,Aerospace & Defense,"Waltham, Massachusetts",,101829,1922
96,CMA,-0.004605304,0.069780029,Comerica Inc.,Financials,Diversified Banks,"Dallas, Texas",12/1/1995,28412,
218,HIG,-0.004611776,0.062227623,Hartford Financial Svc.Gp.,Financials,Property & Casualty Insurance,"Hartford, Connecticut",,874766,
450,UAA,-0.004617796,0.060286053,Under Armour (Class A),Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",5/1/2014,1336917,
262,KEY,-0.00461948,0.071978421,KeyCorp,Financials,Regional Banks,"Cleveland, Ohio",3/1/1994,91576,
185,FLS,-0.004632271,0.057117832,Flowserve Corporation,Industrials,Industrial Machinery,"Irving, Texas",10/2/2008,30625,
317,MRO,-0.004716672,0.095869254,Marathon Oil Corp.,Energy,Oil & Gas Exploration & Production,"Houston, Texas",5/1/1991,101778,
104,COF,-0.004892227,0.069869161,Capital One Financial,Financials,Consumer Finance,"Tysons Corner, Virginia",7/1/1998,927628,1935
265,KIM,-0.004993232,0.067579648,Kimco Realty,Real Estate,Retail REITs,"New Hyde Park, New York",4/4/2006,879101,
93,CINF,-0.005026511,0.053339758,Cincinnati Financial,Financials,Property & Casualty Insurance,"Fairfield, Ohio",12/18/1997,20286,
411,SLB,-0.005036224,0.071806756,Schlumberger Ltd.,Energy,Oil & Gas Equipment & Services,"Curaçao, Kingdom of the Netherlands",3/31/1965,87347,1926
275,LB,-0.00503737,0.085285234,L Brands Inc.,Consumer Discretionary,Apparel Retail,"Columbus, Ohio",9/30/1983,701985,
212,HBAN,-0.005072848,0.058526184,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio",,49196,1866
191,FRT,-0.005099814,0.056696061,Federal Realty Investment Trust,Real Estate,Retail REITs,"Rockville, Maryland",2/1/2016,34903,
470,VTR,-0.005134383,0.086067796,Ventas Inc,Real Estate,Health Care REITs,"Chicago, Illinois",3/4/2009,740260,
429,TAP,-0.005145169,0.041109305,Molson Coors Brewing Company,Consumer Staples,Brewers,"Denver, Colorado",6/30/1976,24545,
466,VNO,-0.005336077,0.061328976,Vornado Realty Trust,Real Estate,Office REITs,"New York, New York",,899689,1982
173,FANG,-0.005409259,0.100788851,Diamondback Energy,Energy,Oil & Gas Exploration & Production,"Midland, Texas",12/3/2018,1539838,2007
73,BXP,-0.005504029,0.051399912,Boston Properties,Real Estate,Office REITs,"Boston, Massachusetts",4/3/2006,1037540,
57,BA,-0.005544574,0.085196797,Boeing Company,Industrials,Aerospace & Defense,"Chicago, Illinois",,12927,1916
477,WELL,-0.005546241,0.072035587,Welltower Inc.,Real Estate,Health Care REITs,"Toledo, Ohio",1/30/2009,766704,
396,RL,-0.005549691,0.051087664,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",2/2/2007,1037038,
2,AAL,-0.005660619,0.093855854,American Airlines Group,Industrials,Airlines,"Fort Worth, Texas",3/23/2015,6201,1934
146,DVN,-0.005661314,0.091612812,Devon Energy,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",8/30/2000,1090012,
196,GE,-0.00567585,0.055931626,General Electric,Industrials,Industrial Conglomerates,"Boston, Massachusetts",,40545,1892
226,HRB,-0.005746101,0.056424042,H&R Block,Consumer Discretionary,Specialized Consumer Services,"Kansas City, Missouri",11/30/1986,12659,
389,RCL,-0.00582777,0.108255592,Royal Caribbean Cruises Ltd,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",12/5/2014,884887,
306,MHK,-0.006153333,0.071640272,Mohawk Industries,Consumer Discretionary,Home Furnishings,"Calhoun, Georgia",12/23/2013,851968,
478,WFC,-0.006183932,0.057140881,Wells Fargo,Financials,Diversified Banks,"San Francisco, California",6/30/1976,72971,
383,PVH,-0.00626419,0.083161296,PVH Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",2/15/2013,78239,
338,NOV,-0.006266895,0.078380396,National Oilwell Varco Inc.,Energy,Oil & Gas Equipment & Services,"Houston, Texas",3/14/2005,1021860,
327,NBL,-0.006345371,0.105228961,Noble Energy Inc,Energy,Oil & Gas Exploration & Production,"Houston, Texas",10/8/2007,72207,
272,KSS,-0.006501557,0.087229751,Kohl's Corp.,Consumer Discretionary,General Merchandise Stores,"Menomonee Falls, Wisconsin",,885639,1962
412,SLG,-0.006837648,0.066999527,SL Green Realty,Real Estate,Office REITs,"New York, New York",3/20/2015,1040971,
124,DAL,-0.007209355,0.07645377,Delta Air Lines Inc.,Industrials,Airlines,"Atlanta, Georgia",9/11/2013,27904,1929
439,TPR,-0.007604485,0.079553558,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",,1116132,2017
451,UAL,-0.007644002,0.100082485,United Airlines Holdings,Industrials,Airlines,"Chicago, Illinois",9/3/2015,100517,1967
356,OXY,-0.007900854,0.1155466,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,"Houston, Texas",12/31/1982,797468,
416,SPG,-0.0080258,0.087645926,Simon Property Group Inc,Real Estate,Retail REITs,"Indianapolis, Indiana",6/26/2002,1063761,2003
14,ADS,-0.008045509,0.097667434,Alliance Data Systems,Information Technology,Data Processing & Outsourced Services,"Plano, Texas",12/23/2013,1101215,1996
192,FTI,-0.008226852,0.082352717,TechnipFMC,Energy,Oil & Gas Equipment & Services,"London, United Kingdom",6/5/2009,1681459,2017 (1958)
44,APA,-0.00832399,0.128861268,Apache Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas",7/28/1997,6769,1954
260,JWN,-0.00852742,0.08082286,Nordstrom,Consumer Discretionary,Department Stores,"Seattle, Washington",8/31/1986,72333,
328,NCLH,-0.008768185,0.127252849,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",10/13/2017,1513761,
82,CCL,-0.008967096,0.112133293,Carnival Corp.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",12/22/1998,815097,
109,COTY,-0.009084661,0.097006843,"Coty, Inc",Consumer Staples,Personal Products,"New York, New York",10/3/2016,1024305,
494,XRX,-0.009371488,0.060354648,Xerox,Information Technology,"Technology Hardware, Storage & Peripherals","Norwalk, Connecticut",,108772,1906
352,OKE,-0.011187678,0.098172782,ONEOK,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",3/15/2010,1039684,
